Protein accession	Gene	Associated gene ID	Description	Coverage	# Proteins	Proteins in group	miR FASP_# Unique peptides	miR FASP_# Peptides	miR FASP_# PSMs	miR FASP_Protein error probability	miR FASP_q-value	miR FASP_PEP	miR FASP_MS1 precursor area	miR FASP_tmt10plex_126	miR FASP_tmt10plex_126 - # quanted PSMs	miR FASP_tmt10plex_127N	miR FASP_tmt10plex_127N - # quanted PSMs	miR FASP_tmt10plex_127C	miR FASP_tmt10plex_127C - # quanted PSMs	miR FASP_tmt10plex_128N	miR FASP_tmt10plex_128N - # quanted PSMs	miR FASP_tmt10plex_128C	miR FASP_tmt10plex_128C - # quanted PSMs	miR FASP_tmt10plex_129N	miR FASP_tmt10plex_129N - # quanted PSMs	miR FASP_tmt10plex_129C	miR FASP_tmt10plex_129C - # quanted PSMs	miR FASP_tmt10plex_130N	miR FASP_tmt10plex_130N - # quanted PSMs	miR FASP_tmt10plex_130C	miR FASP_tmt10plex_130C - # quanted PSMs	miR FASP_tmt10plex_131	miR FASP_tmt10plex_131 - # quanted PSMs
ABCA1	NA	ENSG00000165029	ATP-binding cassette, sub-family A (ABC1), member 1 [Source:HGNC Symbol;Acc:HGNC:29]	NA	na	NA	2	2	2	1.8664632552000002e-10	0.0	0.00162245	NA	1.0388960250591	2	1.20814816484314	2	0.982057030538449	2	1.19253314894769	2	0.773445571550168	2	0.868160356498603	2	1.28993680505783	2	1.18016643311325	2	1.43481374564185	2	1.04412116791301	2
ABCA12	NA	ENSG00000144452	ATP-binding cassette, sub-family A (ABC1), member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	NA	na	NA	1	1	1	0.00978422	0.00826438	0.5695645	902737.0	0.998369196161936	1	0.945033886445661	1	1.11385611583467	1	1.22288869967221	1	1.08268940632018	1	1.29509945139539	1	1.090716246296	1	0.929035191725775	1	1.18181786022458	1	1.06195393477103	1
ABCA13	NA	ENSG00000179869	ATP-binding cassette, sub-family A (ABC1), member 13 [Source:HGNC Symbol;Acc:HGNC:14638]	NA	na	NA	1	1	2	0.0190963	0.01594215	0.8317645	3018179.5	1.03598370714175	2	0.957178105096289	2	0.8092812191319	2	0.937022728945014	2	0.807075378069103	2	0.636718510163332	2	0.964989977845648	2	1.15148409966334	2	1.07963768819079	2	0.737441553913021	2
ABCA3	NA	ENSG00000167972	ATP-binding cassette, sub-family A (ABC1), member 3 [Source:HGNC Symbol;Acc:HGNC:33]	NA	na	NA	1	1	1	0.111757	0.10031	1.0	229049.0	0.617325271438602	1	1.64268920739014	1	0.946369180527859	1	0.592992115477996	1	1.3211401762514	1	1.06841014558386	1	1.41674680790333	1	1.05647089046591	1	1.11835736563889	1	1.70959304778002	1
ABCB1	NA	ENSG00000085563	ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:HGNC:40]	NA	na	NA	3	6	6	1.4259507988955353e-06	0.000269579	0.06237835	30242755.333333332	1.03675252362085	3	1.13624703382756	2	0.970533273179917	2	0.986229681990595	2	1.11709154901981	2	1.04162570979093	3	1.0567208518805	3	0.917373816138591	2	0.79074828516741	3	0.77495656197378	3
ABCB10	NA	ENSG00000135776	ATP-binding cassette, sub-family B (MDR/TAP), member 10 [Source:HGNC Symbol;Acc:HGNC:41]	NA	na	NA	11	11	18	2.019899863336046e-49	0.0	0.00162245	25029887.333333332	0.945365695945691	18	0.930690285354533	18	0.906019448489491	18	0.930202490523391	18	0.986504190701468	18	0.878439507172605	18	1.03637304137847	18	1.03040005942112	18	1.00107108446195	18	0.926400207746767	18
ABCB6	NA	ENSG00000115657	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	NA	na	NA	13	13	25	1.2197281163940902e-91	0.0	0.00162245	55102570.0	0.923616821354855	24	1.000305487719	24	1.11794113312907	24	1.02718490760004	24	0.99339485359284	24	0.948990433360909	24	1.08511159442849	24	1.08537420626963	24	1.04406897711439	24	0.985270145185856	24
ABCB7	NA	ENSG00000131269	ATP-binding cassette, sub-family B (MDR/TAP), member 7 [Source:HGNC Symbol;Acc:HGNC:48]	NA	na	NA	9	9	18	6.9250834864084595e-40	0.0	0.00162245	95241898.66666667	0.897925249334005	18	0.964653634177524	18	0.905736222785928	18	1.00975436738412	18	1.01210051235943	17	0.860693438538717	18	1.0196198205516	18	1.08896303156715	18	1.06808153903409	18	0.979608086954734	18
ABCB8	NA	ENSG00000197150	ATP-binding cassette, sub-family B (MDR/TAP), member 8 [Source:HGNC Symbol;Acc:HGNC:49]	NA	na	NA	10	11	24	3.52450659832022e-39	0.0	0.00162245	23928346.0	0.946079746015719	22	1.00723789148195	22	0.966578651698017	22	1.04223024658909	23	0.994912606309168	23	0.913969930446676	23	1.02500264228193	22	1.0655165170615	22	0.94377292355662	22	0.999650976036422	23
ABCB9	NA	ENSG00000150967	ATP-binding cassette, sub-family B (MDR/TAP), member 9 [Source:HGNC Symbol;Acc:HGNC:50]	NA	na	NA	3	3	4	4.999213741191709e-07	0.000532854	0.178908	1596841.0	1.05630578591541	4	0.896929498159134	4	0.910061726901788	4	0.711035118905214	4	1.01859258067143	4	0.862626076286688	4	0.79196217029025	4	1.00381582458117	4	0.97572111231878	4	0.675532163836637	4
ABCC1	NA	ENSG00000103222;ENSG00000278183	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:HGNC Symbol;Acc:HGNC:51]	NA	na	NA	33	33	61	5.596517049414886e-166	0.0	0.00162245	105992242.66666667	0.929768802059772	61	0.937457450161351	61	1.08094692347736	61	1.08860522904919	61	1.01169259761799	61	0.946226143730152	61	1.10118256022811	61	1.05250223581015	61	0.92371601863634	61	0.981664622386611	61
ABCC10	NA	ENSG00000124574	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 [Source:HGNC Symbol;Acc:HGNC:52]	NA	na	NA	4	5	5	7.106597141203526e-11	0.0	0.00162245	3239370.0	0.992316931059587	4	0.985735354622398	4	0.968846594608596	4	1.16264181627891	4	0.940594639599274	4	1.00979949501439	4	1.12083861930888	4	1.14499084801838	4	1.0625695278445	4	0.94018553950594	4
ABCC11	NA	ENSG00000121270	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 [Source:HGNC Symbol;Acc:HGNC:14639]	NA	na	NA	2	3	21	0.038709850278	0.10031	1.0	1191824.0	1.24316908508171	2	1.32897892712931	2	1.45982599724691	2	1.46518570086488	2	0.932719791411996	2	1.30858463483748	2	0.668313159993868	2	0.844160643459324	2	1.12561953883878	2	1.35862507673349	2
ABCC3	NA	ENSG00000108846	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:HGNC Symbol;Acc:HGNC:54]	NA	na	NA	2	2	2	0.00115890565032	0.0105509	0.6551445	769382.0	0.901927546232308	2	1.35885432657318	1	1.77395635459298	2	1.5652652543968	2	1.07296116790794	2	1.35701089338508	2	1.29715594639244	2	1.02662953310861	2	1.28548467304181	2	1.19962559610966	2
ABCC4	NA	ENSG00000125257	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:HGNC Symbol;Acc:HGNC:55]	NA	na	NA	12	13	22	5.519717944738595e-44	0.0	0.00162245	538958146.3333334	0.897510633795922	20	0.998547614681109	20	0.966815840211947	21	1.05167248341388	21	1.01514153640534	21	0.813974003208694	21	1.05974859732402	21	1.05331780050949	21	0.977668779255478	21	0.884485479877895	21
ABCC5	NA	ENSG00000114770	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:HGNC Symbol;Acc:HGNC:56]	NA	na	NA	9	10	15	1.0286379048071063e-28	0.0	0.00162245	12101248.666666666	0.945141145021277	14	0.897309074341337	14	1.09154806962633	14	0.999790090055543	14	0.977459072431098	14	0.99381423798207	14	1.01103779346595	14	1.09755598831095	14	0.883553131774595	14	1.00920804640322	14
ABCD1	NA	ENSG00000101986	ATP-binding cassette, sub-family D (ALD), member 1 [Source:HGNC Symbol;Acc:HGNC:61]	NA	na	NA	13	17	35	2.253146274436275e-68	0.0	0.00162245	41786858.666666664	0.947241123503875	26	0.917196438249832	26	1.00436636088015	26	1.00312436782599	26	1.02883402442877	26	0.831588647731634	26	1.15442936962178	26	1.02374719850999	26	0.9236884950838	26	0.926666624828983	26
ABCD2	NA	ENSG00000173208	ATP-binding cassette, sub-family D (ALD), member 2 [Source:HGNC Symbol;Acc:HGNC:66]	NA	na	NA	14	18	33	3.965246860308509e-63	0.0	0.00162245	43809645.333333336	0.935981210030497	26	0.920802628018086	26	1.13435231019361	26	1.11881013969419	26	1.00756528890705	26	0.987726553370708	26	1.22898279611714	26	1.06070089819374	26	0.974308560804648	26	1.05619057994203	26
ABCD3	NA	ENSG00000117528	ATP-binding cassette, sub-family D (ALD), member 3 [Source:HGNC Symbol;Acc:HGNC:67]	NA	na	NA	20	20	47	9.190213904659587e-67	0.0	0.00162245	77204090.66666667	0.929596887676807	41	0.936507228787111	42	1.07414759613932	44	0.934847703192917	45	0.965004397644997	44	0.837818835072962	44	1.07423875124497	45	1.08986770856064	45	1.01019875527647	45	0.967436086745545	45
ABCD4	NA	ENSG00000119688	ATP-binding cassette, sub-family D (ALD), member 4 [Source:HGNC Symbol;Acc:HGNC:68]	NA	na	NA	4	4	5	1.899268801018867e-11	0.000269579	0.0252342	35661633.0	0.900860701560291	5	0.866492199648446	5	0.960198574470167	5	1.06384482624382	5	1.06305279070769	5	0.815368754215826	5	1.07375318305021	5	1.04502455225856	5	0.928691822372383	5	0.837818694767471	5
ABCE1	NA	ENSG00000164163	ATP-binding cassette, sub-family E (OABP), member 1 [Source:HGNC Symbol;Acc:HGNC:69]	NA	na	NA	30	30	171	1.2543719914938913e-167	0.0	0.00162245	759787626.6666666	0.953808658561203	167	0.955211811430495	166	1.10146038341503	170	0.90906185987415	167	0.978812649905456	169	0.950902029579828	167	0.961824939005401	169	1.06622238595219	168	0.980073094030493	169	0.971761756270781	170
ABCF1	NA	ENSG00000236342;ENSG00000231129	ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]	NA	na	NA	55	55	166	4.986460900364002e-267	0.0	0.00162245	499600810.6666667	0.943439438838735	162	0.942537943057448	163	1.23301545672834	163	0.987188193314746	162	0.953203999818708	162	0.977134019916968	163	1.02336367207591	162	1.08824656828264	162	1.001163308331	163	1.03630180591107	163
ABCF2	NA	ENSG00000033050	ATP-binding cassette, sub-family F (GCN20), member 2 [Source:HGNC Symbol;Acc:HGNC:71]	NA	na	NA	33	33	100	4.285249242066149e-138	0.0	0.00162245	335269386.6666667	0.935960394195511	100	0.990717589521594	100	1.16228402183771	100	0.90272857415083	100	0.972641191883512	100	0.99607853683407	100	0.927524897894052	100	1.06384685724437	99	0.989988841312717	100	1.06557796181529	100
ABCF3	NA	ENSG00000161204	ATP-binding cassette, sub-family F (GCN20), member 3 [Source:HGNC Symbol;Acc:HGNC:72]	NA	na	NA	26	26	51	3.7058517525239398e-112	0.0	0.00162245	519860584.0	0.966301845516864	51	0.990622034561644	51	1.12684733592014	51	0.990094080794691	51	0.982844930069665	51	0.994718781891139	51	1.06828150734799	51	1.04791083015196	51	0.997413552010965	51	1.00859622004461	51
ABHD10	NA	ENSG00000144827	abhydrolase domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25656]	NA	na	NA	7	7	19	1.5997059306830992e-40	0.0	0.00162245	71307386.0	1.03693348085596	18	0.909245708821591	17	0.942603848937294	19	0.874263103009527	18	1.02363081562441	19	0.939743049336094	19	0.834220829811998	19	0.953277548940563	19	1.05571637867907	19	1.01760065141395	19
ABHD11	NA	ENSG00000106077	abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]	NA	na	NA	5	5	10	1.4486243480119623e-25	0.0	0.00162245	252158341.33333334	0.953112683590926	9	1.1022181704931	9	0.939621560828872	10	1.05587523941016	10	1.09764521084803	10	0.952848143322671	10	0.970324594643553	9	0.944841937026065	10	1.10915918952064	10	1.06796690983531	10
ABHD12	NA	ENSG00000100997	abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868]	NA	na	NA	11	11	23	1.0810385456620253e-53	0.0	0.00162245	64610354.666666664	0.981756826189504	21	0.970153380160838	22	0.983755876981812	22	0.854447968568146	22	0.99043907923066	21	0.884557983923463	22	0.969982671251058	22	0.9810504675082	23	0.957456676127853	23	0.897405665991229	22
ABHD14B	NA	ENSG00000114779	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]	NA	na	NA	3	3	6	4.492236187243758e-16	0.0	0.00162245	28011271.333333332	1.07435866402496	6	1.08071593341574	6	0.741107114207581	6	1.1266043891301	6	1.00733624811548	6	0.782567626521611	6	0.922291013430333	6	0.994042147491424	6	0.996319919809688	6	0.929881751168709	6
ABHD16A	NA	ENSG00000204427	abhydrolase domain containing 16A [Source:HGNC Symbol;Acc:HGNC:13921]	NA	na	NA	7	7	8	5.313332845759809e-19	0.0	0.00162245	13954815.333333334	1.04542283025324	7	1.07485085219688	7	0.953878474899711	7	0.906843764504593	7	0.949011610743462	7	0.851093344579512	7	0.99387868271522	7	1.00121109851295	7	1.06722377677582	7	0.934808669129902	7
ABHD17B	NA	ENSG00000107362	abhydrolase domain containing 17B [Source:HGNC Symbol;Acc:HGNC:24278]	NA	na	NA	6	6	7	6.72818339997684e-20	0.0	0.00162245	11461078.333333334	0.969720598759564	7	1.06783707920444	7	1.13704773346885	7	1.16930243245453	7	0.883365221818818	7	1.08183671781641	7	1.15461339492327	7	1.09204146187948	7	0.991470778965	7	1.05906830962889	7
ABHD2	NA	ENSG00000140526	abhydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18717]	NA	na	NA	1	1	2	0.0132859	0.0110611	0.675476	2197363.5	0.92644686874459	2	0.96682393495633	2	0.857137108521191	2	1.18215267653326	2	1.10398414796829	2	0.884591231210796	2	1.15740047461866	2	0.975198178636025	2	0.963316902581295	2	0.864540226664287	2
ABHD4	NA	ENSG00000100439	abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20154]	NA	na	NA	1	1	1	0.000478202	0.000269579	0.10347899999999999	5786772.0	0.874696203045523	1	1.02354296081683	1	1.0531474953559	1	1.25035493095435	1	0.998128478847078	1	1.04112093618905	1	0.971933662267194	1	1.12139728879021	1	1.01976353633303	1	0.993983248803611	1
ABHD6	NA	ENSG00000163686	abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398]	NA	na	NA	5	5	9	3.286302428878846e-21	0.0	0.00162245	10717287.666666666	1.01552570238314	9	0.858051452089235	9	0.962731083218649	9	0.902272617971058	9	1.00115526377665	9	0.917247505538326	9	1.07965889293857	9	0.986058121932735	9	0.998024283949069	9	0.89209695621423	9
ABI1	NA	ENSG00000136754	abl-interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	NA	na	NA	7	10	19	3.600609705391015e-49	0.0	0.00162245	28138165.333333332	1.07185743608177	14	1.21321814717011	14	0.934329527869733	14	1.03264810796431	14	1.01559597578657	14	1.0736382339062	14	1.07845765404362	14	0.946081067055131	14	1.10136471153268	14	1.04090812916299	14
ABI2	NA	ENSG00000138443	abl-interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]	NA	na	NA	5	8	17	8.978108188672909e-28	0.0	0.00162245	36504498.666666664	1.03478516583283	12	1.10561341638639	12	0.981725267689177	12	1.16664646664712	12	1.04703641013507	12	1.15739112912217	12	1.16877205539837	12	0.921967301062507	12	1.1219831355101	12	1.13517594245317	12
ABL1	NA	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	NA	na	NA	8	10	12	2.2883103403897197e-37	0.0	0.00162245	10153092.333333334	0.93712370484656	10	0.889275537623528	10	1.00039302460757	10	1.15571524496673	10	0.973595688442914	10	1.09252249856649	10	1.23724136383241	10	1.09525016313152	10	1.02090381585143	10	1.1350242867704	10
ABL2	NA	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	NA	na	NA	12	14	22	6.091790807629964e-56	0.0	0.00162245	13581994.666666666	1.0385719226084	19	0.696136754935942	19	1.09906384030561	20	1.11117538010558	18	1.0124745804732	18	1.06551465747333	20	1.17133223983294	20	1.05110347695994	20	0.928011011819172	20	1.0230459008825	20
ABLIM1	NA	ENSG00000099204	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	NA	na	NA	9	10	10	6.057889219590683e-22	0.0	0.00162245	5834671.666666667	1.04571474612785	9	0.959917539127585	8	1.0357075316197	8	1.11927691922883	8	0.988438414690928	8	1.18166335485131	8	1.01510275268366	8	0.95606587319689	9	1.05822899071017	9	0.996540227518226	9
ABR	NA	ENSG00000159842;ENSG00000278741	active BCR-related [Source:HGNC Symbol;Acc:HGNC:81]	NA	na	NA	22	24	39	2.6018827013558126e-95	0.0	0.00162245	57266300.0	0.962311755337265	36	0.9905009140148	36	0.958374908010046	36	0.788737477323816	35	0.996027963470962	36	0.833984776879354	36	0.832371457300664	36	1.05713313958893	36	1.03886173944637	35	0.9349710824975	36
ABRACL	NA	ENSG00000146386	ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]	NA	na	NA	3	3	6	2.763688945073085e-16	0.0	0.00162245	19393226.666666668	1.13334116387108	4	1.00999566385493	5	0.495543904311893	4	0.923803362469248	4	0.992377335528166	5	0.682909577906618	5	0.841626775048685	5	0.869981862780242	4	1.18893038095909	4	0.973600624218333	5
ABT1	NA	ENSG00000146109	activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]	NA	na	NA	7	7	14	1.2897419820099795e-19	0.0	0.00162245	301922729.3333333	1.01535131952152	14	0.955095006136522	14	1.1240049892476	14	1.01880054688434	14	0.996150607614521	14	1.00508065400852	14	0.958718625016615	14	0.992306466053122	14	0.88428088232492	14	0.990311164998631	14
ABTB1	NA	ENSG00000114626	ankyrin repeat and BTB (POZ) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]	NA	na	NA	6	6	6	1.9764530929671569e-16	0.000269579	0.0520118	1764608.3333333333	1.00183218913885	6	0.99837869602165	6	0.901332173158586	6	1.01136738938333	6	1.1200563130828	6	0.811282339102629	6	1.01369605253969	6	0.916015812103986	6	1.06916114253877	6	0.845974630717699	6
ABTB2	NA	ENSG00000166016	ankyrin repeat and BTB (POZ) domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]	NA	na	NA	4	4	5	3.766662450187065e-15	0.0	0.00162245	9480233.0	0.970946461396193	5	1.09595892296169	5	0.857561267145755	5	1.03185281234314	5	1.06059431477935	5	0.770804520552522	5	1.04177454476016	5	0.974807463376437	5	1.04316478290406	5	0.892437898792043	5
ACAA1	NA	ENSG00000060971	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	NA	na	NA	16	16	32	4.906714026342212e-100	0.0	0.00162245	43938354.0	1.0838125377477	31	0.97872052149261	31	0.788350787330956	32	1.04930500731269	32	1.00965990397555	32	0.875541997990009	32	0.983204240510663	32	0.94192154629521	31	1.09739356725914	32	0.927606813235155	32
ACAA2	NA	ENSG00000167315	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	NA	na	NA	24	24	62	1.3787008821950639e-156	0.0	0.00162245	271647296.0	0.989458652445482	61	0.939113805900477	61	0.956653557283179	61	0.976243593215567	62	1.02273179210941	62	0.971329582373672	61	0.984021140798195	61	0.988841188242674	62	1.10062286074936	62	1.00608132483328	62
ACACA	NA	ENSG00000278540	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	NA	na	NA	78	91	234	0.0	0.0	0.00162245	352276906.6666667	0.961602857759101	209	0.919047138483082	202	1.07572012465009	205	1.00134574635047	207	0.986137198552979	203	0.949046849743875	207	1.07275981669971	207	1.06124299175733	208	0.963963209833649	208	1.00840479310481	208
