protein,imputed,n,average_expression,proportional_expression,foldchange,log2_foldchange,p_value,adj_p_value,normalization,abundance_control_1,abundance_control_2,abundance_control_3,abundance_knockdown_1,abundance_knockdown_2,abundance_knockdown_3,description,biological_process,cellular_component,molecular_function,gene_id_entrez,gene_name,wiki_pathway,reactome_pathway,gene_id_ensemble
Q9Y4C2,0,6,7289388.690104167,2.8216830053574193e-5,5.7805178322401325,2.5311987384943864,0.015167739346754106,0.6429522395902524,raw,1534409.859375,2301051.6875,2689719.625,13301270.3125,9592103.875,14317776.78125,TRPM8 channel-associated factor 1 OS=Homo sapiens OX=9606 GN=TCAF1 PE=1 SV=3,metabolic process,cytoplasm;cytoskeleton,structural molecule activity,9747,TCAF1,NA,NA,ENSG00000198420
Q8WU67,0.16666666666666666,6,960149.6,3.7166872615788697e-6,5.772392708958239,2.5291694529812196,0.07629772308603569,0.6429522395902524,raw,276079.84375,NA,258474.15625,784629.5,1541154.25,1940410.25,Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=2 SV=2,cellular homeostasis,cytoplasm;cytoskeleton,structural molecule activity,171586,ABHD3,NA,Synthesis of PC,ENSG00000158201
Q9H6H4,0,6,2328479.203125,9.013417276959762e-6,5.7226254094454,2.5166771743126284,0.25517348193606865,0.735366952583477,raw,426298.25,3598575.8125,518765.75,2968702.0625,2756853.71875,3701679.625,Receptor expression-enhancing protein 4 OS=Homo sapiens OX=9606 GN=REEP4 PE=1 SV=1,cell differentiation;cell growth;metabolic process,cytoskeleton;endoplasmic reticulum;extracellular,motor activity,80346,REEP4,NA,NA,ENSG00000168476
Q96BQ5,0.3333333333333333,6,746880.83125,2.891135372471449e-6,5.566204425474218,2.4766938943328527,0.171553428094692,0.6688917965646828,raw,280538.03125,294437.5625,225828.21875,1800666.5625,1132933.78125,NA,Coiled-coil domain-containing protein 127 OS=Homo sapiens OX=9606 GN=CCDC127 PE=1 SV=1,NA,NA,NA,133957,CCDC127,NA,NA,ENSG00000164366
P84022,0.16666666666666666,6,802127.3046875,3.104991488302056e-6,5.487636303879525,2.456184869270111,0.08612228105002519,0.6429522395902524,raw,363594.75,182647.71875,191040.296875,756055,1324150.3125,1995275.75,Mothers against decapentaplegic homolog 3 OS=Homo sapiens OX=9606 GN=SMAD3 PE=1 SV=1,cell growth;cellular component movement;cellular homeostasis;coagulation;defense response;development;metabolic process,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,antioxidant activity;RNA binding;structural molecule activity,4088,SMAD3,Androgen receptor signaling pathway; Cell cycle; AGE/RAGE pathway; Adipogenesis; Endoderm differentiation; Mesodermal commitment pathway; Extracellular vesicle-mediated signaling in recipient cells; Mesodermal commitment pathway; Ovarian infertility; Hepatitis C and hepatocellular carcinoma; TGF-beta signaling pathway; Hypothesized pathways in pathogenesis of cardiovascular disease; Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling; TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition; Canonical and non-canonical TGF-B signaling; Chromosomal and microsatellite instability in colorectal cancer ; Epithelial to mesenchymal transition in colorectal cancer; Pancreatic adenocarcinoma pathway; Neovascularisation processes; Vitamin D in inflammatory diseases; Envelope proteins and their potential roles in EDMD physiopathology; Hippo signaling regulation pathways; Hepatitis B infection; TGF-beta receptor signaling in skeletal dysplasias; Overlap between signal transduction pathways contributing to LMNA laminopathies; Angiotensin II receptor type 1 pathway; SARS-CoV-2 innate immunity evasion and cell-specific immune response; Neuroinflammation and glutamatergic signaling; CCL18 signaling pathway; Progeria-associated lipodystrophy; GDNF signaling; TGF-beta receptor signaling; DNA damage response (only ATM dependent),"Ub-specific processing proteases; FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription; Signaling by NODAL; FOXO-mediated transcription of cell cycle genes; Downregulation of TGF-beta receptor signaling; Downregulation of SMAD2/3:SMAD4 transcriptional activity; Germ layer formation at gastrulation; SARS-CoV-1 targets host intracellular signalling and regulatory pathways; RUNX3 regulates BCL2L11 (BIM) transcription; Signaling by Activin; SMAD2/3 Phosphorylation Motif Mutants in Cancer; TGFBR1 KD Mutants in Cancer; Interleukin-37 signaling; RUNX3 regulates CDKN1A transcription; NOTCH4 Intracellular Domain Regulates Transcription; SMAD4 MH2 Domain Mutants in Cancer; SMAD2/3 MH2 Domain Mutants in Cancer",ENSG00000166949
Q5BJH2,0.16666666666666666,6,700618.3645833334,2.7120558617897622e-06,4.9424179786050395,2.3052170240543046,0.011997471306617156,0.6429522395902524,raw,509242.5625,238918.703125,159274.703125,1180836.09375,828623.6875,1286814.4375,Transmembrane protein 128 OS=Homo sapiens OX=9606 GN=TMEM128 PE=1 SV=2,NA,cytoskeleton,NA,85013,TMEM128,NA,NA,ENSG00000132406
Q5VZF2,0.16666666666666666,6,1336552.1354166667,5.173721153598525e-6,4.821231842573981,2.269401807475183,0.015737242375902395,0.6429522395902524,raw,400858.5,529877.46875,457067.46875,2315794.0625,1761053.1875,2554662.125,Muscleblind-like protein 2 OS=Homo sapiens OX=9606 GN=MBNL2 PE=1 SV=2,cellular component movement;cellular homeostasis;metabolic process,membrane;nucleus,RNA binding;structural molecule activity,10150,MBNL2,NA,NA,ENSG00000139793
C9JYS5,0,6,2007122.9166666667,7.769464442622304e-6,4.778278913760793,2.2564910680586627,0.05379010219839893,0.6429522395902524,raw,836280.25,677282.375,770707.3125,4021260.75,2054552.3125,3682654.5,Golgi apparatus membrane protein TVP23 homolog OS=Homo sapiens OX=9606 GN=TVP23C PE=1 SV=1,NA,cytoskeleton,NA,NA,TVP23C,NA,NA,ENSG00000175106
Q99988,0,6,4036224.5885416665,1.562400745998772e-5,4.692952369543431,2.230495818011137,0.0017806865401509815,0.6429522395902524,raw,1318580.328125,1207802.890625,2017077.1875,6936046.8125,5668161.4375,7069678.875,Growth/differentiation factor 15 OS=Homo sapiens OX=9606 GN=GDF15 PE=1 SV=3,cell death;development;metabolic process,cell surface;extracellular;membrane;nucleus,antioxidant activity;structural molecule activity,9518,GDF15,Epithelial to mesenchymal transition in colorectal cancer,NA,ENSG00000130513
Q8TEY7,0.16666666666666666,6,667239.609375,2.582848502550981e-6,4.6657231236138665,2.222100696511753,1,1,raw,NA,160631.25,NA,1242607.8125,516258.4375,749460.9375,Ubiquitin carboxyl-terminal hydrolase 33 OS=Homo sapiens OX=9606 GN=USP33 PE=1 SV=2,cell differentiation;cell growth;cell organization and biogenesis;cellular homeostasis;coagulation;conjugation;defense response;metabolic process,cytosol;endoplasmic reticulum;extracellular;membrane;nucleus,antioxidant activity;structural molecule activity,23032,USP33,NA,Ub-specific processing proteases; Regulation of expression of SLITs and ROBOs,ENSG00000077254
Q8IZ52,0,6,2414902.72265625,9.347958054920415e-6,4.497503966067735,2.1691245536999326,0.0066627198520635,0.6429522395902524,raw,365390.90625,1323326.84375,829689.6796875,3731532.625,3383537.65625,4855938.625,Chondroitin sulfate synthase 2 OS=Homo sapiens OX=9606 GN=CHPF PE=1 SV=2,cell organization and biogenesis;cellular homeostasis,cytoskeleton;cytosol;endosome;extracellular,structural molecule activity,79586,CHPF,NA,Chondroitin sulfate biosynthesis,ENSG00000123989
O14763,0,6,957522.378125,3.7065174275486794e-6,4.4699047523379365,2.1602440898439954,0.10253744810224477,0.6429522395902524,raw,NA,190450.328125,580956.703125,1445076.96875,1228861.78125,1342266.109375,Tumor necrosis factor receptor superfamily member 10B OS=Homo sapiens OX=9606 GN=TNFRSF10B PE=1 SV=2,coagulation;development;metabolic process,cytoplasm;cytoskeleton;nucleus,structural molecule activity,8795,TNFRSF10B,miRNA regulation of DNA damage response; Apoptosis modulation and signaling; Apoptosis; Apoptosis-related network due to altered Notch3 in ovarian cancer; miRNA regulation of p53 pathway in prostate cancer; Unfolded protein response; p53 transcriptional gene network; DNA damage response,Cell surface interactions at the vascular wall; Regulation by c-FLIP; RIPK1-mediated regulated necrosis; CASP8 activity is inhibited; TP53 Regulates Transcription of Death Receptors and Ligands; Dimerization of procaspase-8; TRAIL  signaling,ENSG00000120889
O00399,0,6,2941508.8125,1.1386421796395831e-5,4.465713573337601,2.158890721026685,0.031031203131896855,0.6429522395902524,raw,859690.5,2165612.6875,682072.9375,5541171.25,3045942.375,5354563.125,Dynactin subunit 6 OS=Homo sapiens OX=9606 GN=DCTN6 PE=1 SV=1,cell differentiation;cell growth,cytosol;endoplasmic reticulum;nucleus,structural molecule activity,10671,DCTN6,NA,MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-mediated anterograde transport; COPI-independent Golgi-to-ER retrograde traffic,ENSG00000104671
Q86UL3,0,6,980705.578125,3.7962583430504253e-6,4.451259680133549,2.1542136680138886,0.137100391220898,0.654928512316515,raw,644900.125,344028.5625,122034.328125,2186866.1875,543206.484375,2043197.78125,Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens OX=9606 GN=GPAT4 PE=1 SV=1,cellular homeostasis;conjugation;metabolic process,cytoskeleton;extracellular,structural molecule activity,137964,GPAT4,Glycerolipids and glycerophospholipids; IL-18 signaling pathway,Synthesis of PA,ENSG00000158669
Q9H7M9,0.5,6,1521109.375,5.8881322634834155e-6,4.381546757088253,2.1314402544969258,0.0032502622202340748,0.6429522395902524,raw,548394.125,305064.46875,1024113.84375,2402814.5,2108224.8125,2738044.5,V-type immunoglobulin domain-containing suppressor of T-cell activation OS=Homo sapiens OX=9606 GN=VSIR PE=1 SV=3,cell organization and biogenesis;cellular homeostasis;metabolic process,cytoplasm;cytoskeleton,DNA binding;structural molecule activity,64115,VSIR,NA,NA,ENSG00000107738
Q14451,0,6,1507116.1875,5.833965390185614e-6,4.293815849420251,2.1022603190902323,0.030790721153689297,0.6429522395902524,raw,524041.25,798860.4375,319722.28125,3248631.3125,1901305.21875,2250136.625,Growth factor receptor-bound protein 7 OS=Homo sapiens OX=9606 GN=GRB7 PE=1 SV=2,cell growth;development;metabolic process,cytoplasm;cytoskeleton;cytosol;nucleus,RNA binding;structural molecule activity,2886,GRB7,Kit receptor signaling pathway; RAC1/PAK1/p38/MMP2 pathway,RET signaling; Signaling by SCF-KIT; Downstream signal transduction; Tie2 Signaling; RND1 GTPase cycle; GRB7 events in ERBB2 signaling,ENSG00000141738
Q9NPA0,0,6,4178640.1979166665,1.6175290594630546e-5,4.2525929724053375,2.0883427771848133,0.007493341819982616,0.6429522395902524,raw,1394049.375,2229526.90625,1389268.90625,6196503.5625,5907995.1875,7954497.25,ER membrane protein complex subunit 7 OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1,cell growth,cytoskeleton;extracellular,structural molecule activity,56851,EMC7,NA,NA,ENSG00000134153
Q8WWA1,0,6,606918.928125,2.3493504022428263e-6,4.1659549903143835,2.05864725234039,0.11611392921058548,0.6429522395902524,raw,185556.765625,NA,239498.40625,439604.4375,871121.40625,1298813.625,Transmembrane protein 40 OS=Homo sapiens OX=9606 GN=TMEM40 PE=1 SV=2,NA,cytoskeleton,NA,55287,TMEM40,NA,NA,ENSG00000088726
P07910,0,6,552574.75625,2.138987047043944e-6,4.1498350713396865,2.0530539999562896,0.2862697284595483,0.7655844406429082,raw,325892.34375,150438.671875,314719.6875,1343349.953125,NA,628473.125,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,cellular component movement;cellular homeostasis;metabolic process,cytosol;endoplasmic reticulum;membrane;nucleus,RNA binding;structural molecule activity,3183,HNRNPC,mRNA processing,SUMOylation of RNA binding proteins; mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA; RHOBTB2 GTPase cycle; RHOBTB1 GTPase cycle,ENSG00000092199
Q13438,0,6,15797879.296875,6.115273780529186e-5,4.127544676794125,2.045283831041742,0.009937751232861803,0.6429522395902524,raw,5123626.953125,6895819.109375,5845080.1875,28209084.46875,21147999.15625,27565665.90625,Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;coagulation;conjugation;development;metabolic process,cytoskeleton;extracellular,structural molecule activity,10956,OS9,NA,ABC-family proteins mediated transport; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Defective CFTR causes cystic fibrosis; ER Quality Control Compartment (ERQC),ENSG00000135506
Q9NXF1,0,6,1740468.41796875,6.737259275267918e-6,4.052421066228601,2.018784084948342,0.09142537755603768,0.6429522395902524,raw,1413113.375,332527.3359375,674271.828125,3139765.9375,1347540.78125,3535591.25,Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2,NA,endosome;membrane,NA,54881,TEX10,NA,Major pathway of rRNA processing in the nucleolus and cytosol,ENSG00000136891
P48651,0,6,2095845.6041666667,8.112905175654212e-6,4.0270054183776836,2.0097074134461588,0.10124025915731287,0.6429522395902524,raw,2138165.15625,405125.875,502162.53125,3540252.9375,1631444.09375,4357923.03125,Phosphatidylserine synthase 1 OS=Homo sapiens OX=9606 GN=PTDSS1 PE=1 SV=1,cellular homeostasis,cytoskeleton;extracellular,structural molecule activity,9791,PTDSS1,Kennedy pathway from sphingolipids; Glycerolipids and glycerophospholipids,Synthesis of PS,ENSG00000156471
A0A087X117,0,6,1731470.828125,6.702430090777108e-6,3.99189204701334,1.9970727063103508,0.006880361542044716,0.6429522395902524,raw,544473.125,1079433.84375,577295.75,2915297.4375,2173477.9375,3098846.875,Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA
O95674,0,6,2810950.0885416665,1.0881036025028607e-5,3.9591558126695774,1.9851928457823411,0.044572776057125015,0.6429522395902524,raw,898531.3125,2843655.03125,999649.84375,4456541.875,3557425.46875,4109897,Phosphatidate cytidylyltransferase 2 OS=Homo sapiens OX=9606 GN=CDS2 PE=1 SV=1,cell growth;cellular homeostasis,cytoskeleton;endosome;extracellular,structural molecule activity,8760,CDS2,NA,Synthesis of PG,ENSG00000101290
Q9H8Y5,0,6,1169152.671875,4.5257268683950005e-6,3.9505265595132615,1.9820449606742971,0.0019059310148898225,0.6429522395902524,raw,726925.078125,239281.265625,476569.46875,1882700.34375,1644069.53125,2045370.34375,Ankyrin repeat and zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKZF1 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;coagulation,nucleus,structural molecule activity,55139,ANKZF1,NA,NA,ENSG00000163516
Q15036,0,6,3146970.15625,1.2181751564863684e-5,3.9258881937141337,1.9730190865404513,0.017143001740830117,0.6429522395902524,raw,1283560.65625,1764247.09375,969490.4375,5873608.4375,3806111.0625,5184803.25,Sorting nexin-17 OS=Homo sapiens OX=9606 GN=SNX17 PE=1 SV=1,cellular homeostasis;conjugation;defense response;development;metabolic process,cytoskeleton;cytosol;extracellular;mitochondrion;nucleus,antioxidant activity;structural molecule activity,9784,SNX17,NA,NA,ENSG00000115234
Q9UIC8,0,6,1414421.5052083333,5.4751492797695515e-6,3.8628572137581814,1.9496683509298862,0.3052851104537144,0.7849075999456834,raw,2222486.625,401746.8125,367715.75,2045974.3125,2028172.09375,1420433.4375,Leucine carboxyl methyltransferase 1 OS=Homo sapiens OX=9606 GN=LCMT1 PE=1 SV=2,cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process,cytosol;membrane,structural molecule activity,51451,LCMT1,NA,Cyclin A/B1/B2 associated events during G2/M transition,ENSG00000205629
Q86VQ0,0.6666666666666666,6,3229790.3,1.250234386972717e-5,3.7681553068112432,1.9138584277290775,0.1266923075335848,0.6467541459113174,raw,1188481.125,4222394.5,1257929.375,4843637.5,4636509,NA,Lebercilin OS=Homo sapiens OX=9606 GN=LCA5 PE=1 SV=2,cell growth;conjugation;metabolic process,endoplasmic reticulum;nucleus,structural molecule activity,167691,LCA5,Ciliary landscape; Ciliopathies; Bardet-Biedl syndrome,NA,ENSG00000135338
Q5JPE7,0,6,104982596.51822917,4.0638196294283364e-4,3.7544943246228364,1.9086186109391237,0.024330344824571793,0.6429522395902524,raw,49386856.765625,45207671.1875,44406549.1875,179462682.84375,126009145.6875,185422673.4375,Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1,NA,cytoskeleton;extracellular;nucleus,protein binding;structural molecule activity,283820,NOMO2,NA,NA,ENSG00000185164
Q93063,0.3333333333333333,6,2755424.2682291665,1.0666098572527262e-5,3.752628667517531,1.9079015388165401,0.03203216608573067,0.6429522395902524,raw,808123.90625,1587737.109375,1114698.21875,5286207.09375,3032588.9375,4703190.34375,Exostosin-2 OS=Homo sapiens OX=9606 GN=EXT2 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;conjugation;defense response;development;metabolic process,cytoskeleton;extracellular,structural molecule activity,2132,EXT2,Mesodermal commitment pathway; Mesodermal commitment pathway; Proteoglycan biosynthesis,"HS-GAG biosynthesis; Defective EXT2 causes exostoses 2; Defective EXT1 causes exostoses 1, TRPS2 and CHDS",ENSG00000151348
Q8NHH9,0,6,2241289.578125,8.675910946092844e-6,3.7419387899342897,1.9037859593856161,0.005841426204820088,0.6429522395902524,raw,1232420.65625,713807.375,969626.0625,3628281.375,2925563.375,3978038.625,Atlastin-2 OS=Homo sapiens OX=9606 GN=ATL2 PE=1 SV=2,cell growth,cytoskeleton;extracellular,structural molecule activity,64225,ATL2,NA,NA,ENSG00000119787
P30414,0,6,114836.0517578125,4.445241561713648e-7,3.691572846455237,1.8842356277527101,1,1,raw,NA,37373.74609375,NA,97693.1953125,137967.90625,186309.359375,NK-tumor recognition protein OS=Homo sapiens OX=9606 GN=NKTR PE=1 SV=2,cell organization and biogenesis;cellular homeostasis;metabolic process,cytoplasm;cytoskeleton;membrane;nucleus,structural molecule activity,4820,NKTR,NA,NA,ENSG00000114857
O60337,0.16666666666666666,6,1218344.03125,4.716143964615017e-6,3.6406005828934513,1.8641764686902191,1,1,raw,NA,441364.96875,NA,2254707.75,958959.375,NA,E3 ubiquitin-protein ligase MARCHF6 OS=Homo sapiens OX=9606 GN=MARCHF6 PE=1 SV=2,cell organization and biogenesis;cellular homeostasis;coagulation,cytoskeleton;extracellular,structural molecule activity,10299,MARCHF6,NA,ER Quality Control Compartment (ERQC),ENSG00000145495
Q6UWE0,0,6,564705.1666666667,2.1859432108264928e-6,3.6282654528851332,1.859280010869523,0.267513207860323,0.7473260925206285,raw,338582.09375,187018.828125,157094.71875,268378.09375,678553.953125,1758603.3125,E3 ubiquitin-protein ligase LRSAM1 OS=Homo sapiens OX=9606 GN=LRSAM1 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;conjugation;metabolic process,cytoskeleton;cytosol;nucleus,structural molecule activity,90678,LRSAM1,Intracellular trafficking proteins involved in CMT neuropathy,Antigen processing: Ubiquitination & Proteasome degradation,ENSG00000148356
